"arrest","bible","camera","chef","church","concert_hall","cook","darkroom","frying_pan","hair_salon","haircut","hairdresser","handcuffs","microphone","photographer","preach","prison","restaurant","scissors","sing","singer","take_photo","vicar"
0,3.15975741589684,3.3947285177565,2.96919330879611,2.89182542468653,2.94780017870363,3.53582510422539,3.28438842333858,2.19488438654739,2.8972545483054,3.61671222767033,3.61112321753109,2.12078788546089,3.16922644059923,3.82634655032125,3.62423292003971,2.57768066733307,2.76224872356946,2.81107252762992,2.50411874874082,3.36209081116842,2.47067281336451,2.8903140265067
3.15975741589684,0,1.2221089899666,2.68077782707274,1.4724096097343,3.48728300450112,1.70766471535566,3.27423949944267,1.96115838609406,1.71380269525407,1.46542287495177,1.43138592026111,2.29105058475449,1.179591501847,1.26294908258512,2.13893450377794,2.81537318625966,1.78084021660866,2.36866722503491,1.69108234895191,2.5343550479773,1.64501915956827,1.8538363714094
3.3947285177565,1.2221089899666,0,3.64915601212853,1.62863646794181,3.29447034793582,1.30537306020522,3.52604127436966,1.90850791635701,1.88509158336544,1.61205313927407,1.27211945665036,2.74192647296261,1.29410961038203,1.39354414516917,2.54849237502927,2.65108643230602,1.91798046474647,1.53485266140554,2.34877966616745,2.91934082662619,2.04916649714743,1.53802891822561
2.96919330879611,2.68077782707274,3.64915601212853,0,3.40831580768553,2.98159454033653,3.1448177237056,3.74984656611331,2.05548690499805,2.72862476944285,4.03687206601606,3.19249028840295,2.2998220404981,3.37244456335408,3.79049828786651,2.5204035529671,2.43346758280737,1.92133888882856,2.97840644760675,2.43307039035821,2.58851928634248,2.84567861557409,2.61533491988566
2.89182542468653,1.4724096097343,1.62863646794181,3.40831580768553,0,2.78241148533017,2.3991413344204,3.3780495598952,2.25815320869299,1.3425618309525,1.62910507336249,1.91695707704739,2.80503260916606,2.01069158182492,1.55657094401986,2.82970617379116,2.72545126301751,2.041305423367,2.14930057161875,2.16170579600865,2.97429188558224,1.66993117490213,2.03624512033345
2.94780017870363,3.48728300450112,3.29447034793582,2.98159454033653,2.78241148533017,0,3.2923065350576,4.1937965530611,2.88613566498204,3.17243037273213,4.20890317586412,3.37161629044077,2.90021266376602,3.32579740312468,3.62109689246807,3.93717184289932,1.98719506884064,2.8270772738588,2.35617195488293,3.34438955786256,3.35385825890541,2.54443299219881,2.59069117284485
3.53582510422539,1.70766471535566,1.30537306020522,3.1448177237056,2.3991413344204,3.2923065350576,0,3.49385986124944,1.88491903781924,2.07123780490062,2.43343612234193,1.29658329582196,2.23928486483895,1.36952928582054,1.93176997082564,2.60721587445974,2.24654890470983,1.69813554878327,2.14012645809329,2.25958940854885,3.13462333240801,2.73091225110956,2.14503801146844
3.28438842333858,3.27423949944267,3.52604127436966,3.74984656611331,3.3780495598952,4.1937965530611,3.49385986124944,0,2.8867121788218,3.19737633044381,3.17123526632828,3.07380918106056,3.05891964652196,3.3547766514051,3.76297233901227,2.89386465547649,3.56600613057832,2.90000074669134,3.15160567623168,3.40620661349119,3.12911007523467,4.35442282944245,3.30541616850034
2.19488438654739,1.96115838609406,1.90850791635701,2.05548690499805,2.25815320869299,2.88613566498204,1.88491903781924,2.8867121788218,0,2.37330079765823,2.67696656915249,1.93554011778342,1.47829172271508,2.12074309328528,2.40758461294794,2.28998933892773,2.29672777343251,1.39505042621657,2.11094411205405,1.90811731606647,2.34866407433555,2.14398875143982,1.78193675240395
2.8972545483054,1.71380269525407,1.88509158336544,2.72862476944285,1.3425618309525,3.17243037273213,2.07123780490062,3.19737633044381,2.37330079765823,0,2.11880304258767,1.99404819027363,2.98670754659559,1.77995274936153,1.93826863080481,2.8685968110462,2.40586766832069,2.10432971049815,2.53185040583932,3.1532225938083,3.59734201848612,2.18631136368743,2.50233637437241
3.61671222767033,1.46542287495177,1.61205313927407,4.03687206601606,1.62910507336249,4.20890317586412,2.43343612234193,3.17123526632828,2.67696656915249,2.11880304258767,0,1.90633400406622,3.45971785605278,1.95342191936054,1.01407551508871,2.87266468759159,3.39822626882045,2.65302476174865,2.46375183376084,2.94847855548875,3.37168812419596,1.6804829053452,2.20140165560208
3.61112321753109,1.43138592026111,1.27211945665036,3.19249028840295,1.91695707704739,3.37161629044077,1.29658329582196,3.07380918106056,1.93554011778342,1.99404819027363,1.90633400406622,0,2.47314918992467,1.36725008135635,1.20386158306708,2.10399299857455,2.7119813962845,1.87053902736893,1.8182820068874,2.2496590645948,2.48110520340885,1.8963850928488,1.43360265729948
